State	Name	Population	Area
AC	Acrelândia	12538	1807.92
AL	Boca da Mata	25776	186.53
AL	Capela	17077	242.62
AP	Tartarugalzinho	12563	6709.66
BA	América Dourada	\N	837.72
CE	Jijoca de Jericoacoara	17002	204.79
GO	Cavalcante	9392	6953.67
MA	Centro Novo do Maranhão	17622	8258.42
MS	Ped\\ro G\\omes	7967	3651.18
MG	Abadia dos Dourados	6704	881.06
